服务器ID,玩家ID,记录类型,说明,猿猴币数量,自选宝箱数量,时间
2068602,34839533,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2068602,34839533,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2068602,34839533,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2043802,34930342,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-17 03:14:35.240
2043802,34930342,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-17 03:15:41.959
2043802,34930342,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 03:15:59.898
2043802,34930342,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:34:29.175
2043802,34930342,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2054002,35216582,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 13:55:38.681
2054002,35216582,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:04:10.574
2054002,35216582,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:04:15.737
2054002,35216582,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:04:19.235
2054002,35216582,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:04:23.119
2054002,35216582,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:04:26.825
2054002,35216582,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:04:30.725
2054002,35216582,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2041002,35460831,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 13:30:05.233
2041002,35460831,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-17 07:44:30.251
2041002,35460831,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-17 07:44:35.038
2041002,35460831,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-17 07:44:44.538
2041002,35460831,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 07:44:45.946
2041002,35460831,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 09:17:22.305
2041002,35460831,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 09:17:26.486
2041002,35460831,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 09:17:29.488
2041002,35460831,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 09:17:34.389
2041002,35460831,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 09:17:37.403
2041002,35460831,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2041002,35460831,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2041002,35460831,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2041002,35460831,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2041002,35460831,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2043802,35560551,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 15:49:19.688
2043802,35560551,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 15:49:41.340
2043802,35560551,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 09:18:43.454
2043802,35560551,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2037402,35611031,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-15 21:08:03.636
2037402,35611031,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-17 07:34:57.479
2037402,35611031,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 07:35:06.076
2037402,35611031,需补发-阶段一未发放,"兑换2000档位, 阶段一未发放x1次",1000,1,
2037402,35611031,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2037402,35833980,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 09:03:39.992
2037402,35833980,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 17:08:40.649
2037402,35833980,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2079102,35911528,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 23:13:51.558
2079102,35911528,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 19:09:16.481
2079102,35911528,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2044602,36072891,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-17 18:46:32.353
2044602,36072891,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 18:46:51.858
2044602,36072891,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 16:30:54.141
2044602,36072891,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2033202,37139980,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 16:50:35.624
2033202,37139980,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 16:50:53.031
2033202,37139980,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 16:50:58.490
2033202,37139980,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 11:51:03.828
2033202,37139980,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 11:51:06.225
2033202,37139980,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 11:51:08.254
2033202,37139980,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 11:51:12.347
2033202,37139980,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2033202,37139980,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2033202,37139980,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2046502,37569323,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 23:15:02.920
2046502,37569323,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 11:01:18.409
2046502,37569323,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2046502,37693967,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 16:44:54.429
2046502,37693967,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 18:23:25.995
2046502,37693967,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 16:49:13.145
2046502,37693967,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 18:23:35.438
2046502,37693967,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 10:54:46.129
2046502,37693967,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 10:54:50.309
2046502,37693967,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2046502,37693967,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2047102,37977700,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 11:46:48.546
2047102,37977700,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 11:47:12.613
2047102,37977700,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 11:46:32.141
2047102,37977700,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2047102,38349601,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 17:27:40.966
2047102,38349601,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 17:28:25.349
2047102,38349601,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-19 11:35:43.204
2047102,38349601,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2047102,38499471,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 10:41:24.911
2047102,38499471,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 10:41:58.136
2047102,38499471,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:19:53.678
2047102,38499471,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2049702,38613945,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 19:10:50.243
2049702,38613945,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 19:12:01.877
2049702,38613945,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 19:12:03.624
2049702,38613945,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:05:14.796
2049702,38613945,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:05:23.049
2049702,38613945,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:05:29.950
2049702,38613945,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2049702,38613945,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2049702,38613945,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2047102,39090702,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-18 07:38:03.671
2047102,39090702,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:06:14.493
2047102,39090702,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:06:19.878
2047102,39090702,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2047102,39279586,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-17 22:17:14.554
2047102,39279586,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-18 04:20:55.409
2047102,39279586,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 13:31:12.890
2047102,39279586,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 13:31:23.058
2047102,39279586,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 13:31:27.426
2047102,39279586,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2047102,39279586,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2047102,39378218,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 09:31:24.636
2047102,39378218,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 10:04:14.936
2047102,39378218,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 10:04:18.741
2047102,39378218,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 11:19:33.098
2047102,39378218,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 11:19:35.653
2047102,39378218,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 11:19:39.014
2047102,39378218,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2047102,39378218,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2047102,39378218,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2041002,39498266,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-17 11:15:11.304
2041002,39498266,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 08:25:09.210
2041002,39498266,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-17 11:26:37.683
2041002,39498266,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 11:26:46.829
2041002,39498266,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-17 11:33:21.311
2041002,39498266,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-18 02:12:49.406
2041002,39498266,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:02:03.094
2041002,39498266,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:02:06.475
2041002,39498266,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:02:14.627
2041002,39498266,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:02:23.844
2041002,39498266,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:02:29.363
2041002,39498266,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2041002,39498266,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2041002,39498266,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2041002,39498266,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2041002,39498266,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2077702,40420894,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 21:29:25.393
2077702,40420894,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 13:58:06.545
2077702,40420894,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2051002,40506099,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-17 21:36:57.647
2051002,40506099,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 21:37:11.687
2051002,40506099,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 15:15:24.709
2051002,40506099,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 16:01:23.912
2051002,40506099,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2051002,40506099,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2051002,40554584,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 12:55:41.169
2051002,40554584,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 11:54:24.096
2051002,40554584,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2023502,40761300,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 09:20:15.022
2023502,40761300,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 17:07:48.151
2023502,40761300,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2038602,41164302,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 12:09:19.487
2038602,41164302,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 12:13:16.587
2038602,41164302,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 12:23:01.429
2038602,41164302,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 16:35:10.216
2038602,41164302,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-15 16:35:25.443
2038602,41164302,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 12:20:19.342
2038602,41164302,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 12:25:27.144
2038602,41164302,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-16 16:21:36.099
2038602,41164302,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 16:30:41.693
2038602,41164302,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 17:11:56.952
2038602,41164302,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-16 12:26:18.992
2038602,41164302,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:05:09.872
2038602,41164302,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:05:12.054
2038602,41164302,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:05:14.188
2038602,41164302,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:05:17.218
2038602,41164302,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:05:19.319
2038602,41164302,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2038602,41164302,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2049702,41821861,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-17 10:39:00.829
2049702,41821861,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-18 01:17:40.622
2049702,41821861,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:04:07.069
2049702,41821861,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:04:10.723
2049702,41821861,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:04:14.918
2049702,41821861,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2051302,42219379,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 11:59:46.783
2051302,42219379,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-18 16:20:02.501
2051302,42219379,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 12:03:35.956
2051302,42219379,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:02:30.251
2051302,42219379,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2054002,42220700,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 23:32:06.664
2054002,42220700,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 01:52:57.930
2054002,42220700,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 03:27:18.522
2054002,42220700,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 11:50:31.611
2054002,42220700,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 11:50:33.561
2054002,42220700,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 11:50:35.797
2054002,42220700,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2054002,42220700,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2054002,42220700,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2016902,42481373,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 22:42:58.838
2016902,42481373,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 10:15:42.324
2016902,42481373,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2055302,42743959,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-19 03:50:13.356
2055302,42743959,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 10:15:40.910
2055302,42743959,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:02:16.428
2055302,42743959,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2055302,42746753,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-16 05:57:43.393
2055302,42746753,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:10:19.514
2055302,42746753,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2041002,43060407,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 08:04:43.956
2041002,43060407,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 08:05:46.340
2041002,43060407,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 08:05:23.898
2041002,43060407,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 08:06:09.202
2041002,43060407,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:01:47.219
2041002,43060407,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:01:59.924
2041002,43060407,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2041002,43060407,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2051302,43142161,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 19:58:08.099
2051302,43142161,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-16 03:46:53.078
2051302,43142161,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 06:28:35.739
2051302,43142161,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 10:18:32.671
2051302,43142161,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2052502,43694202,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 10:39:21.239
2052502,43694202,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 09:08:35.656
2052502,43694202,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2052502,43788487,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-18 06:17:37.835
2052502,43788487,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-18 06:19:14.618
2052502,43788487,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 22:23:21.063
2052502,43788487,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 22:23:24.607
2052502,43788487,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2052502,43788487,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2054202,44931151,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 06:02:45.547
2054202,44931151,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:28:30.232
2054202,44931151,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2054002,45548775,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-16 23:16:41.162
2054002,45548775,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:15:03.426
2054002,45548775,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2054202,45826788,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-17 04:13:08.267
2054202,45826788,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 13:42:13.298
2054202,45826788,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2058802,45958168,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 05:54:58.012
2058802,45958168,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 15:01:16.545
2058802,45958168,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2006502,4596249,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-17 05:24:48.474
2006502,4596249,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 05:30:02.299
2006502,4596249,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 12:02:43.229
2006502,4596249,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2058802,46050237,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 13:55:53.098
2058802,46050237,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 14:09:16.566
2058802,46050237,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 15:14:06.695
2058802,46050237,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2041002,46080690,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-16 01:00:47.231
2041002,46080690,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 12:06:15.940
2041002,46080690,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 12:06:25.131
2041002,46080690,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 12:06:28.122
2041002,46080690,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 12:06:31.329
2041002,46080690,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 12:06:34.857
2041002,46080690,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 12:06:38.389
2041002,46080690,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2054002,46780040,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 14:49:39.117
2054002,46780040,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:53:06.518
2054002,46780040,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2016902,47557017,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 23:18:58.943
2016902,47557017,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 00:08:25.874
2016902,47557017,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 00:08:30.826
2016902,47557017,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 14:01:04.937
2016902,47557017,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 14:01:06.668
2016902,47557017,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 14:01:08.268
2016902,47557017,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2016902,47557017,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2016902,47557017,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2055802,48319936,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 23:09:59.177
2055802,48319936,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 13:23:01.435
2055802,48319936,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 13:23:06.255
2055802,48319936,已领取-阶段一返还,返还5000猿猴币+0个自选宝箱,5000,0,2026-04-18 13:23:10.300
2055802,48319936,已领取-阶段一返还,返还0猿猴币+10个自选宝箱,0,10,2026-04-18 13:23:10.301
2055802,48319936,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2055802,48891507,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 05:50:52.844
2055802,48891507,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 14:44:17.386
2055802,48891507,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2055802,48892343,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 09:45:02.730
2055802,48892343,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 23:48:33.615
2055802,48892343,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2052502,49509683,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 19:26:28.786
2052502,49509683,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 12:51:15.276
2052502,49509683,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
