cs							cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	c	c	c	c	c	c	c	cs	c	cs	c	c	cs	cs	cs	cs	cs	c	c	c	cs	cs	cs	cs	cs	cs
2018025		海瑶触发礼包-等级提升				49.99	116		11			1	825145	20	40011001|90			1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	驯养特供		2	2000%	999	205							DK_img_Mecha_gift_bg						
2018026		海瑶触发礼包-等级提升							11			1	825146					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2018027		海瑶触发礼包-等级提升							11			1	825147					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2019001		海瑶触发礼包-技能提升				2.99	103		11			1	825103	21	40011001|3			1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	驯养特供		2	2000%	999	201							DK_img_Mecha_gift_bg						
2019002		海瑶触发礼包-技能提升							11			1	825104					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2019003		海瑶触发礼包-技能提升							11			1	825105					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2019004		海瑶触发礼包-技能提升				2.99	103		11			1	825106	21	40011001|5			1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	驯养特供		2	2000%	999	201							DK_img_Mecha_gift_bg						
2019005		海瑶触发礼包-技能提升							11			1	825107					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2019006		海瑶触发礼包-技能提升							11			1	825108					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2019007		海瑶触发礼包-技能提升				4.99	105		11			1	825109	21	40011001|8			1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	驯养特供		2	2000%	999	202							DK_img_Mecha_gift_bg						
2019008		海瑶触发礼包-技能提升							11			1	825110					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2019009		海瑶触发礼包-技能提升							11			1	825111					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2020001		海瑶触发礼包-经验耗尽				2.99	103		11			1	825112	22	40011001			1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	驯养特供		2	2000%	999	201							DK_img_Mecha_gift_bg						1
2020002		海瑶触发礼包-经验耗尽							11			1	825113					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2020003		海瑶触发礼包-经验耗尽							11			1	825114					1		1					DK_img_Actv_Siren_TriggerIap_hud		DK_img_Mecha_gift_icon			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	免费礼包			免费	999								DK_img_Mecha_gift_bg						
2020004		糖杖小红帽·弗莱彻皮肤礼包-$4.99档				29.99	112		11			1	825148	10	1030|1|1			1		1					DK_img_multi_tier_buy_hero2		DK_img_multi_tier_buy_hero2			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	糖杖小红帽·弗莱彻			1000%	999	204													
2020005		糖杖小红帽·弗莱彻皮肤礼包-$9.99档				29.99	112		11			1	825149	10	1030|1|1			1		1					DK_img_multi_tier_buy_hero2		DK_img_multi_tier_buy_hero2			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	糖杖小红帽·弗莱彻			1100%	999	204													
2020006		糖杖小红帽·弗莱彻皮肤礼包-$19.99档				29.99	112		11			1	825150	10	1030|1|1			1		1					DK_img_multi_tier_buy_hero2		DK_img_multi_tier_buy_hero2			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	糖杖小红帽·弗莱彻			1200%	999	204													
2020007		糖杖小红帽·弗莱彻皮肤礼包-$29.99档				29.99	112		11			1	825151	10	1030|1|1			1		1					DK_img_multi_tier_buy_hero2		DK_img_multi_tier_buy_hero2			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	糖杖小红帽·弗莱彻			1300%	999	204													
2020008		糖杖小红帽·弗莱彻皮肤礼包-$39.99档				29.99	112		11			1	825152	10	1030|1|1			1		1					DK_img_multi_tier_buy_hero2		DK_img_multi_tier_buy_hero2			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	糖杖小红帽·弗莱彻			1500%	999	204													
2020009		糖杖小红帽·弗莱彻皮肤礼包-免费档							11			1	825153	10	1030|1|1			1		1					DK_img_multi_tier_buy_hero2		DK_img_multi_tier_buy_hero2		DK_Role_Spine_30_Lv1	DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	糖杖小红帽·弗莱彻			FREE	999														
2020010		糖杖小红帽·弗莱彻皮肤礼包-BUY ALL				99.99	115		11			1		10	1030|1|1			1		1					DK_img_multi_tier_buy_hero2		DK_img_multi_tier_buy_hero2			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	糖杖小红帽·弗莱彻			1800%	999	205													
2020011		万圣魔女·哈妮皮肤礼包-$4.99档				29.99	112		11			1	825154	10	1036|1|1			1		1					DK_img_multi_tier_buy_hero4		DK_img_multi_tier_buy_hero4			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	万圣魔女·哈妮			1000%	999	204													
2020012		万圣魔女·哈妮皮肤礼包-$9.99档				29.99	112		11			1	825155	10	1036|1|1			1		1					DK_img_multi_tier_buy_hero4		DK_img_multi_tier_buy_hero4			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	万圣魔女·哈妮			1100%	999	204													
2020013		万圣魔女·哈妮皮肤礼包-$19.99档				29.99	112		11			1	825156	10	1036|1|1			1		1					DK_img_multi_tier_buy_hero4		DK_img_multi_tier_buy_hero4			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	万圣魔女·哈妮			1200%	999	204													
2020014		万圣魔女·哈妮皮肤礼包-$29.99档				29.99	112		11			1	825157	10	1036|1|1			1		1					DK_img_multi_tier_buy_hero4		DK_img_multi_tier_buy_hero4			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	万圣魔女·哈妮			1300%	999	204													
2020015		万圣魔女·哈妮皮肤礼包-$39.99档				29.99	112		11			1	825158	10	1036|1|1			1		1					DK_img_multi_tier_buy_hero4		DK_img_multi_tier_buy_hero4			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	万圣魔女·哈妮			1500%	999	204													
2020016		万圣魔女·哈妮皮肤礼包-免费档							11			1	825159	10	1036|1|1			1		1					DK_img_multi_tier_buy_hero4		DK_img_multi_tier_buy_hero4		DK_Role_Spine_36_Lv1	DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	万圣魔女·哈妮			FREE	999														
2020017		万圣魔女·哈妮皮肤礼包-BUY ALL				99.99	115		11			1		10	1036|1|1			1		1					DK_img_multi_tier_buy_hero4		DK_img_multi_tier_buy_hero4			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	万圣魔女·哈妮			1800%	999	205													
2020018		战斧女王·阿迪娜皮肤礼包-$4.99档				14.99	109		11			1	825160	10	1022|1|1			1		1					DK_img_multi_tier_buy_hero3		DK_img_multi_tier_buy_hero3			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	战斧女王·阿迪娜			1000%	999	203													
2020019		战斧女王·阿迪娜皮肤礼包-$9.99档				14.99	109		11			1	825161	10	1022|1|1			1		1					DK_img_multi_tier_buy_hero3		DK_img_multi_tier_buy_hero3			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	战斧女王·阿迪娜			1200%	999	203													
2020020		战斧女王·阿迪娜皮肤礼包-$19.99档				14.99	109		11			1	825162	10	1022|1|1			1		1					DK_img_multi_tier_buy_hero3		DK_img_multi_tier_buy_hero3			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	战斧女王·阿迪娜			1300%	999	203													
2020021		战斧女王·阿迪娜皮肤礼包-$29.99档				14.99	109		11			1	825163	10	1022|1|1			1		1					DK_img_multi_tier_buy_hero3		DK_img_multi_tier_buy_hero3			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	战斧女王·阿迪娜			1400%	999	203													
2020022		战斧女王·阿迪娜皮肤礼包-$39.99档				14.99	109		11			1	825164	10	1022|1|1			1		1					DK_img_multi_tier_buy_hero3		DK_img_multi_tier_buy_hero3			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	战斧女王·阿迪娜			1600%	999	203													
2020023		战斧女王·阿迪娜皮肤礼包-免费档							11			1	825165	10	1022|1|1			1		1					DK_img_multi_tier_buy_hero3		DK_img_multi_tier_buy_hero3		DK_Role_Spine_22_Skin01	DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	战斧女王·阿迪娜			FREE	999														
2020024		战斧女王·阿迪娜皮肤礼包-BUY ALL				79.99	116		11			1		10	1022|1|1			1		1					DK_img_multi_tier_buy_hero3		DK_img_multi_tier_buy_hero3			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	战斧女王·阿迪娜			2000%	999	204													
2020025		守护誓约·阿什顿皮肤礼包-$4.99档				14.99	109		11			1	825166	10	1035|1|1			1		1					DK_img_multi_tier_buy_hero1		DK_img_multi_tier_buy_hero1			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	守护誓约·阿什顿			1000%	999	203													
2020026		守护誓约·阿什顿皮肤礼包-$9.99档				14.99	109		11			1	825167	10	1035|1|1			1		1					DK_img_multi_tier_buy_hero1		DK_img_multi_tier_buy_hero1			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	守护誓约·阿什顿			1200%	999	203													
2020027		守护誓约·阿什顿皮肤礼包-$19.99档				14.99	109		11			1	825168	10	1035|1|1			1		1					DK_img_multi_tier_buy_hero1		DK_img_multi_tier_buy_hero1			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	守护誓约·阿什顿			1300%	999	203													
2020028		守护誓约·阿什顿皮肤礼包-$29.99档				14.99	109		11			1	825169	10	1035|1|1			1		1					DK_img_multi_tier_buy_hero1		DK_img_multi_tier_buy_hero1			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	守护誓约·阿什顿			1400%	999	203													
2020029		守护誓约·阿什顿皮肤礼包-$39.99档				14.99	109		11			1	825170	10	1035|1|1			1		1					DK_img_multi_tier_buy_hero1		DK_img_multi_tier_buy_hero1			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	守护誓约·阿什顿			1600%	999	203													
2020030		守护誓约·阿什顿皮肤礼包-免费档							11			1	825171	10	1035|1|1			1		1					DK_img_multi_tier_buy_hero1		DK_img_multi_tier_buy_hero1		DK_Role_Spine_35_Skin01	DK_img_gift_bg_13	DK_img_gift_bg_7	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	守护誓约·阿什顿			FREE	999														
2020031		守护誓约·阿什顿皮肤礼包-BUY ALL				59.99	116		11			1		10	1035|1|1			1		1					DK_img_multi_tier_buy_hero1		DK_img_multi_tier_buy_hero1			DK_img_gift_bg_13	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_multi_tier_buy_banner	DK_img_gift_bg_tc_5	守护誓约·阿什顿			2000%	999	204													
2021001		船只改装-推荐$9.99礼包	主界面	1天	限购1次	9.99	107		1			1	825174						6003	1	1				DK_icon_global_ship_alloy	6003	DK_icon_global_ship_alloy	DK_img_gift_bg_41		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	神秘金属好礼	可用于强化船只改装，增强船队实力！		3700%	993	204													
2021002		船只改装-推荐$29.99礼包	主界面	1天	限购1次	29.99	112		1			1	825175						6003	1	1				DK_icon_global_ship_alloy	6003	DK_icon_global_ship_alloy	DK_img_gift_bg_41		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	神秘金属好礼	可用于强化船只改装，增强船队实力！		3700%	993	204													
2021003		船只改装-推荐$9.99礼包(高级链)	主界面	1天	限购1次	9.99	107		1			1	825176						6003	5	1				DK_icon_global_ship_alloy	6003	DK_icon_global_ship_alloy	DK_img_gift_bg_41		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	神秘金属尊享	可用于强化船只改装，增强船队实力！		3200%	993	204													
2021004		船只改装-推荐$19.99礼包(高级链)	主界面	1天	限购1次	19.99	111		1			1	825177						6003	5	1				DK_icon_global_ship_alloy	6003	DK_icon_global_ship_alloy	DK_img_gift_bg_41		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	神秘金属尊享	可用于强化船只改装，增强船队实力！		3200%	993	204													
2021005		船只技能-推荐$9.99礼包	主界面	2天	限购1次	9.99	107		1			1	825178						6004	1	1				DK_img_cm_ship_skill_4_1	6004	DK_img_cm_ship_skill_4_1	DK_img_gift_bg_43		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	航海屏障碎片好礼	可用于强化船只技能-航海屏障,提升该技能的等级		1700%	994	204													
2021006		船只技能-推荐$14.99礼包	主界面	2天	限购1次	14.99	109		1			1	825179						6004	1	1				DK_img_cm_ship_skill_4_1	6004	DK_img_cm_ship_skill_4_1	DK_img_gift_bg_43		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	航海屏障碎片好礼	可用于强化船只技能-航海屏障,提升该技能的等级		1700%	994	204													
2021007		船只技能-推荐$29.99礼包	主界面	2天	限购1次	29.99	112		1			1	825180						6004	1	1				DK_img_cm_ship_skill_4_1	6004	DK_img_cm_ship_skill_4_1	DK_img_gift_bg_43		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	航海屏障碎片好礼	可用于强化船只技能-航海屏障,提升该技能的等级		1700%	994	204													
2021008		船只技能-推荐$9.99礼包(高级链)	主界面	2天	限购1次	9.99	107		1			1	825181						6004	5	1				DK_img_cm_ship_skill_4_1	6004	DK_img_cm_ship_skill_4_1	DK_img_gift_bg_44		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	航海屏障碎片尊享	可用于强化船只技能-航海屏障,提升该技能的等级		1650%	994	204													
2021009		船只技能-推荐$14.99礼包(高级链)	主界面	2天	限购1次	14.99	109		1			1	825182						6004	5	1				DK_img_cm_ship_skill_4_1	6004	DK_img_cm_ship_skill_4_1	DK_img_gift_bg_44		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	航海屏障碎片尊享	可用于强化船只技能-航海屏障,提升该技能的等级		1650%	994	204													
2021010		船只技能-推荐$19.99礼包(高级链)	主界面	2天	限购1次	19.99	111		1			1	825183						6004	5	1				DK_img_cm_ship_skill_4_1	6004	DK_img_cm_ship_skill_4_1	DK_img_gift_bg_44		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	航海屏障碎片尊享	可用于强化船只技能-航海屏障,提升该技能的等级		1650%	994	204													
2022001		克里斯塔尔推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825184						6003	1	1				DK_Img_C_H_8	6003	DK_Img_C_H_8		DK_Role_Spine_8	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	克里斯塔尔豪礼	来挑选一颗宝石，让它在你心中闪耀吧。	2	1100%	104	204		21019					DK_img_Main_gift_bg_1						
2022002		克里斯塔尔推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825185						6003	1	1				DK_Img_C_H_8	6003	DK_Img_C_H_8		DK_Role_Spine_8	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	克里斯塔尔至尊礼包	来挑选一颗宝石，让它在你心中闪耀吧。	2	1230%	109	205		21040					DK_img_Main_gift_bg_1						
2022003		克里斯塔尔推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825186						6003	1	1				DK_Img_C_H_8	6003	DK_Img_C_H_8		DK_Role_Spine_8	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	克里斯塔尔至尊礼包	来挑选一颗宝石，让它在你心中闪耀吧。	2	1230%	109	205		21040					DK_img_Main_gift_bg_1						
2022004		琥珀推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825187						6003	1	1				DK_Img_C_H_9	6003	DK_Img_C_H_9		DK_Role_Spine_9	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	琥珀豪礼	让我用这炼金术，提炼出我们之间最纯粹的情感。	2	1100%	105	204		21020					DK_img_Main_gift_bg_1						
2022005		琥珀推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825188						6003	1	1				DK_Img_C_H_9	6003	DK_Img_C_H_9		DK_Role_Spine_9	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	琥珀至尊礼包	让我用这炼金术，提炼出我们之间最纯粹的情感。	2	1230%	110	205		21041					DK_img_Main_gift_bg_1						
2022006		琥珀推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825189						6003	1	1				DK_Img_C_H_9	6003	DK_Img_C_H_9		DK_Role_Spine_9	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	琥珀至尊礼包	让我用这炼金术，提炼出我们之间最纯粹的情感。	2	1230%	110	205		21041					DK_img_Main_gift_bg_1						
2022007		莎拉推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825190						6003	1	1				DK_Img_C_H_10	6003	DK_Img_C_H_10		DK_Role_Spine_10	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	莎拉豪礼	想让我施展魔法，释放你内心最深处的欲望吗？	2	1100%	106	204		21021					DK_img_Main_gift_bg_1						
2022008		莎拉推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825191						6003	1	1				DK_Img_C_H_10	6003	DK_Img_C_H_10		DK_Role_Spine_10	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	莎拉至尊礼包	想让我施展魔法，释放你内心最深处的欲望吗？	2	1230%	111	205		21042					DK_img_Main_gift_bg_1						
2022009		莎拉推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825192						6003	1	1				DK_Img_C_H_10	6003	DK_Img_C_H_10		DK_Role_Spine_10	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	莎拉至尊礼包	想让我施展魔法，释放你内心最深处的欲望吗？	2	1230%	111	205		21042					DK_img_Main_gift_bg_1						
2022010		海瑟推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825193						6003	1	1				DK_Img_C_H_31	6003	DK_Img_C_H_31		DK_Role_Spine_31	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	海瑟豪礼	让我用温柔的双手，治愈你心中的所有创伤。	2	1100%	107	204		21022					DK_img_Main_gift_bg_1						
2022011		海瑟推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825194						6003	1	1				DK_Img_C_H_31	6003	DK_Img_C_H_31		DK_Role_Spine_31	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	海瑟至尊礼包	让我用温柔的双手，治愈你心中的所有创伤。	2	1230%	112	205		21043					DK_img_Main_gift_bg_1						
2022012		海瑟推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825195						6003	1	1				DK_Img_C_H_31	6003	DK_Img_C_H_31		DK_Role_Spine_31	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	海瑟至尊礼包	让我用温柔的双手，治愈你心中的所有创伤。	2	1230%	112	205		21043					DK_img_Main_gift_bg_1						
2022013		赛米拉推荐豪礼-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825196						6003	1	1				DK_Img_C_H_17	6003	DK_Img_C_H_17		DK_Role_Spine_17	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉豪礼	想让我为你调制一杯特别的鸡尾酒，让你的夜晚充满魅力？	2	1100%	108	204		21023					DK_img_Main_gift_bg_1						
2022014		赛米拉推荐至尊-$29.99	主界面推	1天	限购1次	29.99	112		1			1	825197						6003	1	1				DK_Img_C_H_17	6003	DK_Img_C_H_17		DK_Role_Spine_17	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉至尊礼包	想让我为你调制一杯特别的鸡尾酒，让你的夜晚充满魅力？	2	1230%	113	205		21044					DK_img_Main_gift_bg_1						
2022015		赛米拉推荐至尊-$49.99	主界面推	1天	限购1次	49.99	116		1			1	825198						6003	1	1				DK_Img_C_H_17	6003	DK_Img_C_H_17		DK_Role_Spine_17	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	赛米拉至尊礼包	想让我为你调制一杯特别的鸡尾酒，让你的夜晚充满魅力？	2	1230%	113	205		21044					DK_img_Main_gift_bg_1						
