cs	cs		c	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	cs	cs	cs	cs	cs	cs	c	c	c	c	c	cs	cs	cs	c	cs	cs	cs	cs	cs	cs							
172101	初级果酱礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172101												DK_icon_global_Gift			DK_Bg_CM_Item4	果酱				9999							500						
172102	中级果酱礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172102												DK_icon_global_Gift			DK_Bg_CM_Item4	果酱				9999							2500						
172103	高级果酱礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172103												DK_icon_global_Gift			DK_Bg_CM_Item4	果酱				9999							5000						
172201	初级咖啡礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172201												DK_icon_global_Gift			DK_Bg_CM_Item4	咖啡				9999							500						
172202	中级咖啡礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172202												DK_icon_global_Gift			DK_Bg_CM_Item4	咖啡				9999							2500						
172203	高级咖啡礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172203												DK_icon_global_Gift			DK_Bg_CM_Item4	咖啡				9999							5000						
172301	初级鸡尾酒礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172301												DK_icon_global_Gift			DK_Bg_CM_Item4	鸡尾酒				9999							500						
172302	中级鸡尾酒礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172302												DK_icon_global_Gift			DK_Bg_CM_Item4	鸡尾酒				9999							2500						
172303	高级鸡尾酒礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172303												DK_icon_global_Gift			DK_Bg_CM_Item4	鸡尾酒				9999							5000						
172401	初级沙拉礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172401												DK_icon_global_Gift			DK_Bg_CM_Item4	沙拉				9999							500						
172402	中级沙拉礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172402												DK_icon_global_Gift			DK_Bg_CM_Item4	沙拉				9999							2500						
172403	高级沙拉礼盒		装有送给女孩们的礼物（传奇品质），可提升她们对您的好感度	9		3	2	172403												DK_icon_global_Gift			DK_Bg_CM_Item4	沙拉				9999							5000						
180001	圣诞纪念！（纪念卡）		圣诞节当天，贝拉留下了一张珍贵的纪念卡，定格了她与朋友们的幸福时光。	9		1	15	1			通过限时专属商店购买									DK_icon_card_image_1			DK_Bg_CM_Item4					9998													
180002	兔宝宝的夜钓（纪念卡）		夜钓常有小惊喜哦！	9		1	15	5			暂无获取渠道									DK_icon_card_image_2			DK_Bg_CM_Item4					9998													
180003	兔宝宝河边垂钓（纪念卡）		偶尔河边，也能有好鱼	9		1	15	4			暂无获取渠道									DK_icon_card_image_4			DK_Bg_CM_Item4					9998													
180004	兔宝宝海边捕捞（纪念卡）		海边常说会产出大鱼	9		1	15	6			暂无获取渠道									DK_icon_card_image_3			DK_Bg_CM_Item4					9998													
180005	新世界！（纪念卡）		穿过风暴，视野的尽头是一片新的海洋！	9		1	15	9			通过世界入侵活动获得									DK_icon_card_image_5			DK_Bg_CM_Item4					9998													
180006	迷情瞬间（纪念卡）		爱上，往往都是那一次的低头	9		1	15	11			通过夜下垂钓活动获得									DK_icon_card_image_7			DK_Bg_CM_Item4					9998													
180007	邮轮假期（纪念卡）		你也是出来度假的吗	9		1	15	12			通过夜下垂钓活动获得									DK_icon_card_image_6			DK_Bg_CM_Item4					9998													
180008	治疗时刻（纪念卡）		老板，你想好好治疗一下吗	9		1	15	13			通过夜下垂钓活动获得									DK_icon_card_image_11			DK_Bg_CM_Item4					9998													
180009	战场重逢（纪念卡）		没人能够战胜我	9		1	15	14			通过夜下垂钓活动获得									DK_icon_card_image_10			DK_Bg_CM_Item4					9998													
180010	玫瑰园偶遇（纪念卡）		缘分总是妙不可言	9		1	15	15			通过夜下垂钓活动获得									DK_icon_card_image_8			DK_Bg_CM_Item4					9998													
180011	战斗演练（纪念卡）		一场酣畅零零的对练	9		1	15	16			通过夜下垂钓活动获得									DK_icon_card_image_9			DK_Bg_CM_Item4					9998													
180012	浪漫烟花（纪念卡）		老板，我们去海边放烟花吧！	9		1	15	3			通过限时专属商店购买									DK_icon_card_image_12			DK_Bg_CM_Item4					9998													
180013	浪漫之夜（纪念卡）		要和我们一起度过今晚吗？	9		1	15	7			通过首月庆典活动获得									DK_icon_card_image_14			DK_Bg_CM_Item4					9998													
180014	姊妹情深（纪念卡）		风雨同行，姊妹相依	9		1	15	8			通过限时专属商店购买									DK_icon_card_image_13			DK_Bg_CM_Item4					9998													
180015	风暴尽头（纪念卡）		穿越风暴，沐浴女神光辉。	9		1	15	2			通过风暴逐鹿活动获得									DK_icon_card_image_15			DK_Bg_CM_Item4					9998													
180016	松鼠的演出（纪念卡）		您，可以来看我们的表演吗？	9		1	15	18			通过限时专属商店购买									DK_icon_card_image_16			DK_Bg_CM_Item4					9998													
180017	沉睡星璃（纪念卡）		好好学习，天天向上	9		1	15	20			通过异域盛典活动获得									DK_icon_card_image_17			DK_Bg_CM_Item4					9998													
180018	玫瑰之约（纪念卡）		吾之迷恋，吾之所约	9		1	15	21			通过异域盛典活动获得									DK_icon_card_image_18			DK_Bg_CM_Item4					9998													
180019	盛夏（纪念卡）占坑		夏天，最适合泳装了	9		1	15	22			暂无获取渠道									DK_icon_card_image_18			DK_Bg_CM_Item4					9998													
180020	少女与蒸汽岛（纪念卡）		她兴奋地穿上新装，在夕阳下的港口留影，记录下属于她的“蒸汽朋克之梦”。	9		1	15	10			通过限时专属商店购买									DK_icon_card_image_31			DK_Bg_CM_Item4					9998													
180021	巨鲸（纪念卡）		自然的壮丽与宁静	9		1	15	23			通过伟大航道活动获得									DK_icon_card_image_19			DK_Bg_CM_Item4					9998													
180022	沉船（纪念卡）		被遗忘的船只，诉说着岁月的故事与无尽的冒险	9		1	15	24			通过伟大航道活动获得									DK_icon_card_image_20			DK_Bg_CM_Item4					9998													
180023	遗忘都市（纪念卡）		海洋深处的历史与神秘	9		1	15	25			通过伟大航道活动获得									DK_icon_card_image_21			DK_Bg_CM_Item4					9998													
180024	远航（纪念卡）		杨帆，远航！	9		1	15	26			通过伟大航道活动获得									DK_icon_card_image_22			DK_Bg_CM_Item4					9998													
180025	涅槃（纪念卡）		每一次蜕变，都是新的开始	9		1	15	27			通过伟大航道活动获得									DK_icon_card_image_23			DK_Bg_CM_Item4					9998													
180026	聚会（纪念卡）		叮叮叮~准备开饭！	9		1	15	28			通过伟大航道活动获得									DK_icon_card_image_24			DK_Bg_CM_Item4					9998													
180027	不屈的斯嘉丽（纪念卡）		没有什么是能让我屈服的	9		1	15	29			通过伟大航道活动获得									DK_icon_card_image_25			DK_Bg_CM_Item4					9998													
180028	泳装派对（纪念卡）		夏日炎炎，清凉一下	9		1	15	30			通过伟大航道活动获得									DK_icon_card_image_26			DK_Bg_CM_Item4					9998													
180029	雅典娜万岁（纪念卡）		勇气与决心，乃胜利之钥	9		1	15	31			通过伟大航道活动获得									DK_icon_card_image_27			DK_Bg_CM_Item4					9998													
180030	自由（纪念卡）		自由的风，像糖果一样甜美	9		1	15	32			通过伟大航道活动获得									DK_icon_card_image_29			DK_Bg_CM_Item4					9998													
180031	训练时刻（纪念卡）		心之所向，箭之所往	9		1	15	33			通过伟大航道活动获得									DK_icon_card_image_30			DK_Bg_CM_Item4					9998													
180032	午后时光（纪念卡）		惬意的午后，总是要来一杯红茶	9		1	15	34			通过伟大航道活动获得									DK_icon_card_image_28			DK_Bg_CM_Item4					9998													
180033	艾丽丝的想法（纪念卡）		只有实力强大才能保证自身安全	9		1	15	35			通过伟大航道活动获得									DK_icon_card_image_33			DK_Bg_CM_Item4					9998													
180034	古老巨树（纪念卡）		充满魔法与梦想的奇幻王国	9		1	15	36			通过伟大航道活动获得									DK_icon_card_image_32			DK_Bg_CM_Item4					9998													
180035	贵族之女（纪念卡）		宫廷画师为爱莉希雅绘制的肖像，定格她在蔷薇盛典上的优雅与威仪。	9		1	15	17			通过限时专属商店购买									DK_icon_card_image_34			DK_Bg_CM_Item4					9998													
180036	微醺少女（纪念卡）		春酿节的花还没开呢，您就盯着我看……莫非，我比花还好看？	9		1	15	19			通过限时专属商店购买									DK_icon_card_image_35			DK_Bg_CM_Item4					9998													
180037	林中小屋（纪念卡）		你想要和我一起呆在这个秘密基地吗？	9		1	15	37			通过异域盛典活动获得									DK_icon_card_image_36			DK_Bg_CM_Item4					9998													
180038	格蕾丝的游园日（纪念卡）		童年的气球、笑声，还有她的快乐身影。	9		1	15	38			通过限时专属商店购买									DK_icon_card_image_37			DK_Bg_CM_Item4					9998													
180039	烤肉派对（纪念卡）		那天的烤肉很香，你们笑得也很好看。	9		1	15	39			通过限时专属商店购买									DK_icon_card_image_38			DK_Bg_CM_Item4					9998													
180040	自由游行（纪念卡）		星光在旗帜上，烟火在天上，自由在心上。	9		1	15	40			通过限时专属商店购买									DK_icon_card_image_39			DK_Bg_CM_Item4					9998													
180041	美人鱼的梦境（纪念卡）		传说她只出现在航程正中的清晨海雾里。	9		1	15	41			通过航海之路活动获得									DK_icon_card_image_40			DK_Bg_CM_Item4					9998													
180042	这一年有你真好（纪念卡）		谢谢你陪我走过这一年。以后……也继续陪我，好不好？	9		1	15	42			通过限时专属商店购买									DK_icon_card_image_41			DK_Bg_CM_Item4					9998													
180043	灵魂回响（纪念卡）		当深海的浪潮泛起幽蓝磷光，那是「海灵之潮」到来的征兆。	9		1	15	43			暂无获取渠道									DK_icon_card_image_42			DK_Bg_CM_Item4					9998													
180044	比基尼热浪（纪念卡）		比基尼飞扬，香汗淋漓的夏天。	9		1	15	44			通过限时专属商店购买									DK_icon_card_image_61			DK_Bg_CM_Item4					9998													
180045	金麦醇酿师（纪念卡）		以满腔热情酝酿麦香，让每一杯泡沫都是自由与欢愉的盛宴。	9		1	15	45			通过升级酒馆、完成章节任务获得									DK_icon_card_image_58			DK_Bg_CM_Item4					9998													
180046	炭火香魂（纪念卡）		掌控火候与刀锋，将烈焰化作人间至味。	9		1	15	46			通过升级酒馆、完成章节任务获得									DK_icon_card_image_49			DK_Bg_CM_Item4					9998													
180047	麦田守望（纪念卡）		在金色晨光中播撒希望，小小身影点亮丰收的田野。	9		1	15	47			通过升级酒馆、完成章节任务获得									DK_icon_card_image_60			DK_Bg_CM_Item4					9998													
180048	金杯女侍（纪念卡）		举杯笑语，将醇香美酒与欢愉共递人间。	9		1	15	48			通过升级酒馆、完成章节任务获得									DK_icon_card_image_52			DK_Bg_CM_Item4					9998													
180049	银夜舞姬（纪念卡）		以灵动之姿翩跹起舞，银辉流转间诉说迷人与自由。	9		1	15	49			通过升级酒馆、完成章节任务获得									DK_icon_card_image_59			DK_Bg_CM_Item4					9998													
180050	白衣心语（纪念卡）		以温柔与守护，纾解身心的痛楚，点亮生命的希望。	9		1	15	50			通过升级酒馆、完成章节任务获得									DK_icon_card_image_50			DK_Bg_CM_Item4					9998													
180051	原野屠刀（纪念卡）		刀锋在手，精修每寸肉脉，用力量与技艺展现自然之馈。	9		1	15	51			通过升级酒馆、完成章节任务获得									DK_icon_card_image_56			DK_Bg_CM_Item4					9998													
180052	芳香园丁（纪念卡）		以双手呵护嫩芽，用耐心与热爱将一株株香草培植成绿意盎然的生机	9		1	15	52			通过升级酒馆、完成章节任务获得									DK_icon_card_image_45			DK_Bg_CM_Item4					9998													
180053	绿影调剂师（纪念卡）		以精妙手艺调配药剂，为每一份健康守护倾注心力。	9		1	15	53			通过升级酒馆、完成章节任务获得									DK_icon_card_image_55			DK_Bg_CM_Item4					9998													
180054	梦境甜心（纪念卡）		以巧手点缀甜美时光，每一口皆是幸福的邀约。	9		1	15	54			通过升级酒馆、完成章节任务获得									DK_icon_card_image_57			DK_Bg_CM_Item4					9998													
180055	书香盈袖（纪念卡）		伏案研读，在墨香氤氲的时光里，用笔尖书写下隽永的诗行与智慧的篇章	9		1	15	55			通过升级酒馆、完成章节任务获得									DK_icon_card_image_46			DK_Bg_CM_Item4					9998													
180056	荣耀斗魂（纪念卡）		披坚执锐，她以无畏意志征服每一场荣光之战。	9		1	15	56			通过升级酒馆、完成章节任务获得									DK_icon_card_image_53			DK_Bg_CM_Item4					9998													
180057	仓库守护人（纪念卡）		万千箱柜间执掌秩序，将杂乱化为井然，将流转变为守护。	9		1	15	57			通过升级酒馆、完成章节任务获得									DK_icon_card_image_54			DK_Bg_CM_Item4					9998													
180058	海盗女王（纪念卡）		以烈焰红发与冷峻目光，统领风暴之上自由的黑帆。	9		1	15	58			通过升级酒馆、完成章节任务获得									DK_icon_card_image_48			DK_Bg_CM_Item4					9998													
180059	烈焰神枪手（纪念卡）		以赤红之姿稳握长枪，弹无虚发直指靶心。	9		1	15	59			通过升级酒馆、完成章节任务获得									DK_icon_card_image_51			DK_Bg_CM_Item4					9998													
180060	烈焰女武士（纪念卡）		手握燃焰之刃，于刀光火影中书写属于自己的不朽传奇。	9		1	15	60			通过升级酒馆、完成章节任务获得									DK_icon_card_image_44			DK_Bg_CM_Item4					9998													
180061	港湾信使（纪念卡）		与海鸥为伴，在港口守护着每一段归航与思念。	9		1	15	61			通过升级酒馆、完成章节任务获得									DK_icon_card_image_47			DK_Bg_CM_Item4					9998													
180062	林间坚果小筑（纪念卡）		与松鼠作伴，将大自然的丰盈馈赠化作香脆美味	9		1	15	62			通过升级酒馆、完成章节任务获得									DK_icon_card_image_43			DK_Bg_CM_Item4					9998													
180063	千帆归来（纪念卡）		潮汐送别，鲸歌相迎，归航的帆船终会抵达港湾。	9		1	15	63			暂无获取渠道									DK_icon_card_image_62			DK_Bg_CM_Item4					9998													
180064	美人鱼之舞（纪念卡）		当潮汐吟唱，你是否也听见了我的歌声？	9		1	15	64			暂无获取渠道									DK_icon_card_image_64			DK_Bg_CM_Item4					9998													
180065	魔海回声（纪念卡）		在魔海的深处，骷髅巨像永远守望着失落的虚影。	9		1	15	65			暂无获取渠道									DK_icon_card_image_63			DK_Bg_CM_Item4					9998													
180066	炎龙之威（纪念卡）		其翼遮天蔽日，其息焚尽万物。	9		1	15	66			暂无获取渠道									DK_icon_card_image_65			DK_Bg_CM_Item4					9998													
180067	玉兔赐福（纪念卡）		在圆月下，我们相聚，庆祝团圆。	9		1	15	67			暂无获取渠道									DK_icon_card_image_66			DK_Bg_CM_Item4					9998													
180068	第一届秋季酿酒大赛（纪念卡）		我没赢，但我喝到了所有人的作品！为第一届酿酒大赛干杯——真香！	9		1	15	68			暂无获取渠道									DK_icon_card_image_67			DK_Bg_CM_Item4					9998													
180069	重铸荣光（纪念卡）		过去的辉煌无法阻挡未来的光芒。	9		1	15	69			暂无获取渠道									DK_icon_card_image_68			DK_Bg_CM_Item4					9998													
180070	魔女的邀约（纪念卡）		月光下的邀约，只属于敢于探索的你。	9		1	15	70			暂无获取渠道									DK_icon_card_image_69			DK_Bg_CM_Item4					9998													
180071	荣光的继承者（纪念卡）		致敬骑士的传承与不灭的守护意志。	9		1	15	71			暂无获取渠道									DK_icon_card_image_70			DK_Bg_CM_Item4					9998													
180072	救赎与审判（纪念卡）		救赎与惩罚，皆为信仰。	9		1	15	72		100261	通过信仰之路活动获得									DK_icon_card_image_72			DK_Bg_CM_Item4					9998													
180073	凛冬补给战（纪念卡）		寒潮之前，舰队必须完成所有航线巡查、补给收集与海域清理，才能保证整个岛屿平安越冬。	9		1	15	73			暂无获取渠道									DK_icon_card_image_73			DK_Bg_CM_Item4					9998													
180074	礼物堆里的小精灵（纪念卡）	节庆-25圣诞节	在这个被礼物填满的圣诞夜，愿你的心，也被温暖与惊喜悄悄抱紧。	9		1	15	74			暂无获取渠道									DK_icon_card_image_74			DK_Bg_CM_Item4					9998													
180075	天马的守护（纪念卡）	节庆-26元旦节	愿天马之翼，守护你的征程！	9		1	15	75		100303|100304	暂无获取渠道									DK_icon_card_image_75			DK_Bg_CM_Item4					9998													
180076	尼罗回响（纪念卡）	节庆-26尼罗之辉	她以智慧为剑，以尼罗河为盾，守护王国至最后一息。	9		1	15	76		100318|100321	暂无获取渠道									DK_icon_card_image_76			DK_Bg_CM_Item4					9998													
180077	我对你的誓言（纪念卡）	节庆-26情人节	繁花盛放，她伫立于此——不为众人，只为等你。	9		1	15	77		100334|100337										DK_icon_card_image_77			DK_Bg_CM_Item4					9998													
180078	新春特辑（纪念卡）	节庆-26春节	愿你的酒馆永远灯火通明，甲板上总有朋友举杯，远方有归帆，心中有春天。	9		1	15	78		100347|100350										DK_icon_card_image_78			DK_Bg_CM_Item4					9998													
180079	绿茵之星（纪念卡）	道具-世界杯	她身披白金战袍，于万众欢呼中高举大力神杯——绿茵之巅最耀眼的胜利女神。	9		1	15	79			世界杯活动获取									DK_icon_card_image_79			DK_Bg_CM_Item4					9998													
190001	船员扩容I（2h）		道具使用后2小时内，部队水手容量提升1000。	9		3	21	11020|1000|7200												DK_icon_global_Expansion			DK_Bg_CM_Item3	2h				998													
190002	无限资源（24h）		购买礼包后，24小时内，资源篮里的资源将变为无限	9		1	21	11039|1|86400												DK_icon_global_unlimited			DK_Bg_CM_Item4	24h				998													
190003	无限资源（10m）		购买礼包后，10分钟内，资源篮里的资源将变为无限	9		1	21	11039|1|600												DK_icon_global_unlimited			DK_Bg_CM_Item4	10m				998													
190004	船员扩容II（12h）		道具使用后12小时内，部队水手容量提升2000。	9		3	21	11020|2000|43200												DK_icon_global_Expansion			DK_Bg_CM_Item4	12h				998													
190005	部队增伤I（2h）		道具使用后2小时内，部队伤害容量提升10%。	9		3	21	120100|1000|7200												DK_icon_global_harm			DK_Bg_CM_Item3	2h				998													
190006	部队增伤II（12h）		道具使用后12小时内，部队伤害容量提升20%。	9		3	21	120100|2000|43200												DK_icon_global_harm			DK_Bg_CM_Item4	12h				998													
190007	部队攻击提升I（2h）		道具使用后2小时内，部队攻击力提升10%。	9		3	21	220000|1000|7200												DK_icon_Item_global_attack			DK_Bg_CM_Item3	2h				998													
190008	部队攻击提升II（12h）		道具使用后12小时内，部队攻击力提升20%。	9		3	21	220000|2000|43200												DK_icon_Item_global_attack			DK_Bg_CM_Item4	12h				998													
190009	部队防御提升I（2h）		道具使用后2小时内，部队防御力提升10%。	9		3	21	220010|1000|7200												DK_icon_Item_global_defense			DK_Bg_CM_Item3	2h				998													
190010	部队防御提升II（12h）		道具使用后12小时内，部队防御力提升20%。	9		3	21	220010|2000|43200												DK_icon_Item_global_defense			DK_Bg_CM_Item4	12h				998													
190011	凌霜攻击限时提升200%（1h）		道具使用后1小时内，凌霜攻击提升200%	9		1	21	220381|20000|3600												DK_icon_property_132			DK_Bg_CM_Item4	1h				998													
190012	凌霜防御限时提升200%（1h）		道具使用后1小时内，凌霜防御提升200%	9		1	21	220391|20000|3600												DK_icon_property_136			DK_Bg_CM_Item4	1h				998													
190013	凌霜攻击限时提升500%（1h）		道具使用后1小时内，凌霜攻击提升500%	9		1	21	220381|50000|3600												DK_icon_property_132			DK_Bg_CM_Item4	1h				998													
190014	凌霜防御限时提升500%（1h）		道具使用后1小时内，凌霜防御提升500%	9		1	21	220391|50000|3600												DK_icon_property_136			DK_Bg_CM_Item4	1h				998													
190015	凌霜攻击限时提升1000%（1h）		道具使用后1小时内，凌霜攻击提升1000%	9		1	21	220381|100000|3600												DK_icon_property_132			DK_Bg_CM_Item4	1h				998													
190016	凌霜防御限时提升1000%（1h）		道具使用后1小时内，凌霜防御提升1000%	9		1	21	220391|100000|3600												DK_icon_property_136			DK_Bg_CM_Item4	1h				998													
190017	部队攻击提升200%		仅在本期公会争霸赛中生效，部队所有水手攻击提升200%	9		1	28	220000|20000												DK_icon_global_buff01			DK_Bg_CM_Item4					998													
190018	部队攻击提升500%		仅在本期公会争霸赛中生效，部队所有水手攻击提升500%	9		1	28	220000|50000												DK_icon_global_buff01			DK_Bg_CM_Item4					998													
190019	部队攻击提升1000%		仅在本期公会争霸赛中生效，部队所有水手攻击提升1000%	9		1	28	220000|100000												DK_icon_global_buff01			DK_Bg_CM_Item4					998													
190020	猎人招募速度限时提升（1h）		1小时内，猎人招募速度提升400%	9		2	21	110171|40000|3600												DK_icon_property_126			DK_Bg_CM_Item4	1h				998													
190021	射手招募速度限时提升（1h）		1小时内，射手招募速度提升400%	9		2	21	110172|40000|3600												DK_icon_property_127			DK_Bg_CM_Item4	1h				998													
190022	斗士招募速度限时提升（1h）		1小时内，斗士招募速度提升400%	9		2	21	110173|40000|3600												DK_icon_property_128			DK_Bg_CM_Item4	1h				998													
190023	采集数量限时提升（12h）		12小时内，最终的采集数量提升400%	9		2	21	220570|40000|43200												DK_icon_property_180			DK_Bg_CM_Item4	12h				998													
190030	出战次数+2		仅在本期公会争霸赛中生效，部队可出战次数增加2次	9		1	28	12050|2												DK_icon_global_buff02			DK_Bg_CM_Item4					998													
190031	出战次数+5		仅在本期公会争霸赛中生效，部队可出战次数增加5次	9		1	28	12050|5												DK_icon_global_buff02			DK_Bg_CM_Item4					998													
190032	出战次数+11		仅在本期公会争霸赛中生效，部队可出战次数增加11次	9		1	28	12050|11												DK_icon_global_buff02			DK_Bg_CM_Item4					998													
190040	派遣部队数+1		仅在本期公会争霸赛中生效，可派遣部队数增加1个	9		1	28	12052|1												DK_icon_global_buff03			DK_Bg_CM_Item4					998													
200000	精美的酒杯	搜身小游戏引导中搜出的假道具		99		0														DK_img_friskfisticon			DK_Bg_CM_Item4																		
210001	梅花丝绸内裤		黑色梅花搭配黑色旗袍，或许是个不错的选择	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon06			DK_Bg_CM_Item3					998													
210002	蓝色三角内裤		上面的花纹像是海洋，它的主人或许喜欢海洋	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon24			DK_Bg_CM_Item3					998													
210003	绿色蕾丝内裤		透露出一丝神秘，它的主人或许喜欢弄些神奇的东西	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon12			DK_Bg_CM_Item3					998													
210004	蓝色蕾丝内裤		浅蓝色的内裤透露出一丝忧郁，它的主人或许喜欢借酒消愁	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon11			DK_Bg_CM_Item3					998													
210005	手工皮革内裤		硬质的皮革，谁会喜欢这个款式的呢	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon13			DK_Bg_CM_Item3					998													
210006	红色蕾丝内裤		红色代表着豪放，性情豪放的女士有谁呢	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon20			DK_Bg_CM_Item3					998													
210007	白色蕾丝内裤		丝绸材质的蕾丝内裤，它的主人一定很爱美	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon21			DK_Bg_CM_Item3					998													
210008	浅绿丝绸内裤		谁喜欢穿绿色的内裤呢，或许它比较喜欢植物	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon02			DK_Bg_CM_Item3					998													
210009	紫色蕾丝内裤		最有韵味的紫色，它的主人一定非常有韵味	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon26			DK_Bg_CM_Item3					998													
210010	白色条带内裤		白色条带小内裤，上面还有些许香味	1		0					通过内裤的踪迹活动获得									DK_icon_global_underwear_icon29			DK_Bg_CM_Item3					998													
220000	回忆精华		用于清洗海妖的属性点	9		0				217										DK_img_item_SirenReset			DK_Bg_CM_Item3					99999													
220001	碎片-海瑶		用于提升海妖-海鳐技能等级的信物	1		0			1	405|577|100353										DK_Img_Siren_Token_40011001			DK_Bg_CM_Item3					99999													
220002	碎片-提亚马特		用于提升海妖-提亚马特技能等级的信物	1		0			1	100352										DK_Img_Siren_Token_40011002			DK_Bg_CM_Item4					99999													
999998	超值月卡半价券（7天）		拥有该道具，可半价购买超值月卡（7天）	9		2	23	307												DK_icon_global_HalfPriceCoupon			DK_Bg_CM_Item4					800					7d								
999999	超值月卡半价券		拥有该道具，可半价购买超值月卡	9		2	23	307												DK_icon_global_HalfPriceCoupon			DK_Bg_CM_Item4					800													
230000	碧波宝箱	纯1星卡包：只能开出1星卡	必定开出 1 件蓝色藏品。每位收藏家的第一步，都从这里启程。	9		3	2	825250												DK_img_card_v2_pack_230000			DK_Bg_CM_Item2					9998													
230001	紫辉宝箱	纯2星卡包：只能开出2星卡	必定开出 1 件紫色藏品。眼光独到的藏家，从不满足于平凡。	9		3	2	825251		100355										DK_img_card_v2_pack_230001			DK_Bg_CM_Item3					9998													
230002	鎏金宝箱	纯3星卡包：只能开出3星卡	必定开出 1 件橙色藏品。最耀眼的珍品，只为顶级藏家而藏。	9		3	2	825252		100355										DK_img_card_v2_pack_230002			DK_Bg_CM_Item4					9998													
230003	启航宝箱	1-2星卡包：大概率开出1星，小概率开出2星	开出 1 件藏品，大概率蓝色、小概率紫色。扬帆起航，惊喜在途中。	9		3	2	825248		538|100356										DK_img_card_v2_pack_230003			DK_Bg_CM_Item2					9998													
230004	远洋宝箱	1-3星卡包：大概率开出1星，小概率开出2星，极小概率开出3星	开出 1 件藏品，多为蓝色、偶得紫色，更有极小概率开出橙色。横跨七海，万象可期。	9		3	2	825247		538|413|100355|100356										DK_img_card_v2_pack_230004			DK_Bg_CM_Item3					9998													
230005	臻选宝箱	2-3星卡包：大概率开出2星，小概率开出3星	开出 1 件藏品，大概率紫色、小概率橙色。层层臻选，只留珍品。	9		3	2	825249		530|538|100355|100356										DK_img_card_v2_pack_230005			DK_Bg_CM_Item4					9998													
230006	自选航海宝箱		海皇藏匿多年的至尊宝箱,只装高品质藏品。开启后可自选一件藏品。	9		1	31	2330001												DK_self_select_card_pack_icon_transparent			DK_Bg_CM_Item4					9998													
230007	大收藏家回收币		回收已有的收藏品可以获得回收币，回收币可用于商店兑换收藏品宝箱。	9						100354										DK_img_card_v2_pack_230007			DK_Bg_CM_Item3					9998													
230008	夜颜花骨（永久）	头像框-集卡册产	使用后可获得传说级头像框。相传佩戴它的人，能在夜深时听见花骸的低语。	9		1	4	10028|-1												DK_Img_Player_AvatarFrame_collection_album_system			DK_Bg_CM_Item4					9999													
230009	夜颜花骨（1天）	头像框-集卡册产	使用后可获得传说级头像框。相传佩戴它的人，能在夜深时听见花骸的低语。	9		2	4	10028|86400												DK_Img_Player_AvatarFrame_collection_album_system			DK_Bg_CM_Item3	1d				9999													
230010	夜颜花骨（3天）	头像框-集卡册产	使用后可获得传说级头像框。相传佩戴它的人，能在夜深时听见花骸的低语。	9		2	4	10028|259200												DK_Img_Player_AvatarFrame_collection_album_system			DK_Bg_CM_Item2	3d				9999													
230011	夜颜花骨（7天）	头像框-集卡册产	使用后可获得传说级头像框。相传佩戴它的人，能在夜深时听见花骸的低语。	9		2	4	10028|604800												DK_Img_Player_AvatarFrame_collection_album_system			DK_Bg_CM_Item3	7d				9999													
240001	狂欢派对-酒馆5级		恭喜您的酒馆等级提升至5级，邀请好友一起狂欢！	9	1	2	32	1002|500|10|2|86400			狂欢派对-酒馆5级			3						DK_AllianceRedPacket_icon_Goblet01			DK_Bg_CM_Item3					999													
240002	狂欢派对-酒馆10级		恭喜您的酒馆等级提升至10级，邀请好友一起狂欢！	9	1	2	32	1002|500|10|2|86400			狂欢派对-酒馆10级			3						DK_AllianceRedPacket_icon_Goblet01			DK_Bg_CM_Item3					999													
240003	狂欢派对-酒馆12级		恭喜您的酒馆等级提升至12级，邀请好友一起狂欢！	9	1	2	32	1002|500|10|2|86400			狂欢派对-酒馆12级			3						DK_AllianceRedPacket_icon_Goblet01			DK_Bg_CM_Item3					999													
